Options:
Model:                           Independent Contrasts
Tree File Name:                  all_flower_length.Nex.trees
Data File Name:                  all_flower_length_log.txt
Log File Name:                   Non_varrates_cacti_flower_length.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            12345
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   5000
Iterations:                      50000000
Burn in:                         20000000
MCMC ML Start:                   False
Schedule File:                   Non_varrates_cacti_flower_length.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     2
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Restrictions:
    Alpha-1                      None
    Sigma-1                      None
Prior Information:
    Priors
        Alpha-1 - uniform -100.00 100.00 
        Sigma-1 - uniform 0.00 100.00 
Tree Information
     Trees:                      1
     Taxa:                       774
     Sites:                      1
Iteration	Lh	Tree No	Alpha 1	Sigma^2 1	
20005000	-949.894224	1	-0.420273213686	0.345762711634	
20010000	-949.253193	1	2.249626735740	0.314743736150	
20015000	-949.216516	1	1.075609157089	0.347928277761	
20020000	-948.730713	1	0.735132030464	0.323545902695	
20025000	-949.173088	1	2.280934111522	0.316669815670	
20030000	-949.664693	1	0.819386572498	0.353706487627	
20035000	-950.365915	1	-1.165770747083	0.328951069357	
20040000	-948.852025	1	0.721400230140	0.319318712163	
20045000	-949.881290	1	-0.095662976010	0.309804252761	
20050000	-948.814337	1	1.257740226965	0.317827508915	
20055000	-948.667519	1	1.693416521832	0.332521760466	
20060000	-949.080894	1	2.136129413484	0.341545704856	
20065000	-948.976407	1	1.063157730097	0.314758516039	
20070000	-949.491609	1	0.526740912399	0.309449433335	
20075000	-949.650544	1	1.064866025490	0.305712814203	
20080000	-949.285350	1	2.780501070020	0.333200322728	
20085000	-949.699561	1	-0.043692321064	0.311667059374	
20090000	-949.749036	1	2.063583738001	0.306586641461	
20095000	-949.819100	1	-0.239121644131	0.347369129271	
20100000	-948.594324	1	1.251402131263	0.329769398553	
