Options:
Model:                           Independent Contrasts
Tree File Name:                  all_flower_length.Nex.trees
Data File Name:                  all_flower_length_log.txt
Log File Name:                   Varrates_cacti_flower_length.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            12345
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   5000
Iterations:                      50000000
Burn in:                         20000000
MCMC ML Start:                   False
Schedule File:                   Varrates_cacti_flower_length.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     2
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
RJ Local Branch:                 True Threshold 0.000000
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local LandscapeBL:            False
Restrictions:
    Alpha-1                      None
    Sigma-1                      None
Prior Information:
    Priors
        Alpha-1 - uniform -100.00 100.00 
        Sigma-1 - uniform 0.00 100.00 
        VRBL - sgamma 1.10 1.00 
        VRNode - sgamma 1.10 1.00 
Tree Information
     Trees:                      1
     Taxa:                       774
     Sites:                      1
Iteration	Lh	Tree No	Alpha 1	Sigma^2 1	No RJ Local Branch	No RJ Local Node	
20005000	-517.095966	1	1.638400252102	0.024450477383	67	45	
20010000	-496.691686	1	0.905866362039	0.030789376954	69	41	
20015000	-487.661326	1	0.616363672566	0.023456267278	62	45	
20020000	-501.664155	1	0.644277664436	0.025066034526	65	40	
20025000	-498.875338	1	1.725994092452	0.023521509214	73	37	
20030000	-486.877802	1	1.712683026717	0.022779651474	73	46	
20035000	-502.734245	1	1.142551256340	0.024589786588	68	48	
20040000	-501.143521	1	1.127673972669	0.026845174942	74	49	
20045000	-488.002568	1	1.476729463048	0.027381336348	67	43	
20050000	-502.450978	1	1.286372766732	0.029267191633	67	40	
20055000	-502.838139	1	0.911765198733	0.029294724403	70	33	
20060000	-488.293922	1	1.380689976123	0.025641413653	70	35	
20065000	-505.605718	1	1.314627674603	0.029267543165	71	37	
20070000	-495.746686	1	1.061562254528	0.022995958390	64	40	
20075000	-491.640634	1	0.444969935025	0.024131516664	61	47	
20080000	-486.585221	1	1.106580069695	0.021165633574	72	53	
20085000	-494.681783	1	1.324175900288	0.026214548555	64	44	
20090000	-497.741259	1	1.726871315888	0.022254217980	71	42	
20095000	-499.881424	1	1.606381487022	0.025614765381	71	37	
20100000	-493.210049	1	1.751492102113	0.024204965699	63	41	
20105000	-496.203618	1	0.699619424264	0.022912574629	66	41	
20110000	-485.154571	1	1.715708492607	0.022791476708	67	37	
20115000	-513.274373	1	0.854302391361	0.026081175269	58	42	
20120000	-486.917071	1	1.201738104121	0.023105752582	64	44	
20125000	-500.704898	1	1.311307223473	0.023192157029	66	38	
20130000	-500.381559	1	1.484253763190	0.022222991327	69	42	
20135000	-502.086193	1	1.190307654071	0.026381034531	68	36	
20140000	-504.890416	1	1.082186368415	0.026469212917	76	37	
20145000	-509.630086	1	1.621448997030	0.025560579192	66	37	
20150000	-491.377804	1	1.234730666985	0.024615571816	61	41	
20155000	-501.065688	1	1.787315845391	0.027263306196	73	35	
20160000	-477.096718	1	0.819820466159	0.024681566056	66	49	
20165000	-494.381379	1	1.096849505845	0.022543638129	68	45	
20170000	-489.781421	1	1.509584341142	0.026589687915	63	45	
20175000	-500.723526	1	0.888842013227	0.029802880787	62	36	
20180000	-501.829987	1	2.005535002396	0.027088765757	63	36	
20185000	-477.264766	1	1.633736220568	0.023533564289	69	37	
20190000	-495.129960	1	0.774745508050	0.025094266883	63	43	
20195000	-488.928308	1	1.295715046479	0.025124918296	72	39	
20200000	-503.982362	1	2.041431513845	0.024364097361	75	45	
20205000	-490.444022	1	1.211070161553	0.025467682611	61	50	
20210000	-479.877644	1	1.184465689887	0.022309794132	64	45	
20215000	-479.935827	1	1.666377857096	0.020577877172	56	52	
20220000	-492.771781	1	1.945788026039	0.022887473616	58	49	
20225000	-494.982135	1	1.343904640193	0.023123034218	58	40	
20230000	-486.294124	1	1.478266581095	0.025797688187	58	37	
20235000	-467.237372	1	1.083559789432	0.023447927254	66	42	
20240000	-479.583207	1	1.560104602878	0.021885881228	72	44	
20245000	-472.049011	1	1.507945394874	0.023561682746	66	48	
20250000	-479.643328	1	1.238631135579	0.022470884551	73	50	
20255000	-475.391512	1	1.627904927974	0.021860981393	76	58	
20260000	-479.850029	1	0.831087934820	0.021159399968	75	57	
20265000	-490.649023	1	1.171335373421	0.023403851712	62	44	
20270000	-476.350367	1	0.980604763529	0.018731923394	67	44	
20275000	-481.927135	1	1.385730860093	0.021620301259	63	41	
20280000	-502.263581	1	1.619125912338	0.024859258051	65	38	
20285000	-506.441760	1	1.865899526407	0.024789266468	78	41	
20290000	-508.910308	1	1.856048607300	0.023458710333	64	42	
20295000	-487.311987	1	1.235138376207	0.025733630597	65	43	
20300000	-471.466636	1	1.709879813634	0.019578596108	60	46	
20305000	-472.219932	1	1.263163485024	0.021780552710	74	49	
20310000	-469.391841	1	0.965234819386	0.020533785070	81	42	
20315000	-484.097533	1	1.384529112433	0.025823566766	76	35	
20320000	-470.699360	1	0.944247569450	0.022506331807	72	44	
20325000	-471.849033	1	1.401014323701	0.020190450288	65	47	
20330000	-496.415222	1	0.881480333890	0.021817247373	58	40	
20335000	-474.794517	1	1.205360317067	0.021131292307	75	49	
20340000	-488.840069	1	1.706867447732	0.020136985986	73	53	
20345000	-469.773350	1	1.605812754936	0.021974498731	60	50	
20350000	-472.492374	1	0.876849248998	0.020890182232	60	53	
20355000	-475.538254	1	1.187972363048	0.021168136878	58	45	
20360000	-478.803923	1	1.258677207092	0.022380691092	63	40	
20365000	-493.812995	1	1.517259653018	0.021093705158	60	47	
20370000	-472.512438	1	1.311601972234	0.017626828972	79	44	
20375000	-459.582936	1	1.344487776549	0.020358455377	84	46	
20380000	-471.060652	1	1.404508075690	0.019693118422	77	42	
20385000	-485.024951	1	1.680110051506	0.018352402102	91	44	
20390000	-486.657514	1	1.574208646320	0.018382747411	92	43	
20395000	-477.252101	1	1.459058921500	0.020891774670	79	47	
20400000	-484.718136	1	1.066515039159	0.019528047957	78	40	
20405000	-481.168318	1	0.749617458540	0.019744225967	78	43	
20410000	-493.029698	1	0.322166773306	0.021086137666	78	42	
20415000	-503.611595	1	1.387529618476	0.021003848864	65	41	
20420000	-493.297597	1	0.704763133990	0.018763176498	65	42	
20425000	-489.854218	1	0.823967256431	0.018084321265	64	44	
20430000	-486.345812	1	1.356142787034	0.018601538249	67	52	
20435000	-499.414711	1	1.037615525222	0.020368094176	84	46	
20440000	-484.286094	1	1.203304426871	0.017309493069	96	48	
20445000	-472.423186	1	1.268570008163	0.018355189473	82	41	
20450000	-477.296472	1	1.168015088803	0.022793409922	72	47	
20455000	-485.881176	1	1.376804697139	0.021096314837	70	50	
20460000	-498.430925	1	1.348737373994	0.020940358490	67	41	
20465000	-486.429744	1	1.397530414889	0.019941187146	80	53	
20470000	-486.583153	1	1.442998243931	0.021260363726	71	42	
20475000	-481.246066	1	0.829997440614	0.023038990540	79	40	
20480000	-467.969192	1	1.020441543861	0.020327539947	77	43	
20485000	-483.304475	1	1.475726700752	0.022362656616	78	41	
20490000	-480.979492	1	1.375138678397	0.023265760911	79	44	
20495000	-487.323375	1	0.948534348408	0.022400744270	76	52	
20500000	-474.980787	1	1.241969866829	0.020798926572	74	45	
20505000	-483.342444	1	1.051385401024	0.022842314019	76	42	
20510000	-494.220675	1	1.059515605581	0.025099007314	81	40	
20515000	-476.268227	1	0.935262167748	0.019988778580	77	44	
20520000	-465.505573	1	1.428047399174	0.024330380820	67	49	
20525000	-466.530834	1	0.915897062407	0.023452541458	66	43	
20530000	-501.761973	1	1.240577821326	0.025625422792	71	41	
20535000	-459.664896	1	1.238566121087	0.019001096487	74	47	
20540000	-455.721555	1	1.089441860332	0.018764915000	70	49	
20545000	-471.441955	1	1.268139496512	0.015910408877	66	49	
20550000	-477.678289	1	1.205011932129	0.018152149027	64	57	
20555000	-474.064189	1	1.152715003591	0.018802780262	70	42	
20560000	-483.680490	1	1.708337933336	0.020831784661	74	43	
20565000	-485.269740	1	0.544201129888	0.021643343807	68	44	
20570000	-487.203424	1	1.478593778854	0.021033330292	63	51	
20575000	-510.917888	1	2.339084595245	0.026359209763	69	38	
20580000	-510.064901	1	0.780932616212	0.023531039521	77	45	
20585000	-502.998765	1	0.543587998834	0.017587207836	78	47	
20590000	-506.922533	1	1.721639466248	0.019536109578	66	47	
20595000	-488.594966	1	1.716927389972	0.020852602863	56	55	
20600000	-492.197096	1	1.019690946038	0.018983341115	63	46	
20605000	-497.746194	1	1.997837790075	0.019942084238	73	48	
20610000	-477.961315	1	1.648923559425	0.018933663072	71	51	
20615000	-502.115657	1	1.109957663835	0.021643954199	65	48	
20620000	-480.079359	1	1.572647176935	0.018194642995	70	47	
20625000	-489.008099	1	1.973383999432	0.017070623745	74	48	
20630000	-507.144886	1	1.087156523172	0.019292460635	69	44	
20635000	-503.399859	1	1.465453376805	0.020438162871	58	52	
20640000	-493.754678	1	1.298033294820	0.021538076456	58	46	
20645000	-516.160294	1	1.678933562102	0.022157065154	68	39	
20650000	-498.496123	1	1.801965617413	0.023405085558	64	40	
20655000	-512.709673	1	1.613442151009	0.019862903012	68	54	
20660000	-492.958915	1	0.777010429756	0.019091983125	67	62	
20665000	-481.713050	1	1.196585597989	0.020416284867	70	50	
20670000	-486.826710	1	1.988777993895	0.021679749155	61	46	
20675000	-492.704398	1	2.004381643895	0.022177424566	65	51	
20680000	-478.956256	1	1.119927167390	0.018137117475	70	46	
20685000	-494.820655	1	1.232689030210	0.024356144162	71	42	
20690000	-496.794611	1	1.407774179607	0.020971693753	67	45	
20695000	-484.782880	1	1.360312403752	0.021295489867	66	56	
20700000	-512.210419	1	1.704770367849	0.024091462969	59	53	
20705000	-484.349694	1	1.193365382137	0.018716998692	72	62	
20710000	-478.804220	1	1.582385782782	0.020592226958	64	51	
20715000	-470.086603	1	0.922627169372	0.016529880930	73	53	
20720000	-491.930067	1	1.032053568579	0.019938826917	76	49	
20725000	-499.029565	1	0.472005943263	0.020116867575	68	45	
20730000	-501.867584	1	1.484509218665	0.023364985080	63	46	
20735000	-511.018865	1	0.874079768192	0.021044894359	54	42	
20740000	-507.119425	1	1.121666295084	0.024059089561	72	42	
20745000	-497.343572	1	0.968992137691	0.026448374639	59	35	
20750000	-505.937311	1	1.425437698513	0.022216636994	70	44	
20755000	-487.477292	1	1.787404515477	0.023047871393	70	44	
20760000	-507.303740	1	1.095155045718	0.024818265185	71	42	
20765000	-498.891429	1	1.426396050625	0.025440428841	63	39	
20770000	-511.399533	1	1.299639121086	0.025003824278	62	37	
20775000	-499.444740	1	1.609519155525	0.027427500579	62	41	
20780000	-490.839686	1	1.835528604286	0.021656293457	72	47	
20785000	-498.409614	1	1.704530412650	0.022654157620	72	47	
20790000	-484.296523	1	1.851377377795	0.020735902410	63	48	
20795000	-489.082098	1	1.384189287948	0.019332865686	64	48	
20800000	-492.231306	1	0.872177330570	0.021103581017	54	51	
20805000	-486.279254	1	0.791532676317	0.023669936378	59	44	
20810000	-469.553273	1	1.641941163212	0.025250439698	60	44	
20815000	-495.147559	1	0.833329634777	0.025337671358	62	41	
20820000	-489.871854	1	1.196417337989	0.026964982298	59	34	
20825000	-478.485592	1	1.842073390775	0.024561680880	63	43	
20830000	-489.958039	1	1.789155567951	0.026475168677	76	43	
20835000	-487.027883	1	1.554026821676	0.021803374254	65	40	
20840000	-482.957395	1	1.136556681352	0.024937809575	64	40	
20845000	-486.603170	1	1.161364211115	0.028723572224	73	37	
20850000	-484.610367	1	1.281158120688	0.027956785865	76	33	
20855000	-474.843802	1	1.326639423725	0.024776119357	76	40	
20860000	-495.265129	1	1.191723388465	0.023663235561	76	32	
20865000	-496.312418	1	0.993871376396	0.022655411092	64	35	
20870000	-479.255756	1	1.336278957357	0.019595608898	75	34	
20875000	-495.180201	1	2.175896159607	0.024028867575	73	29	
20880000	-496.025140	1	1.762067750829	0.025080116084	65	32	
20885000	-489.089459	1	0.286426098599	0.021911141999	71	32	
20890000	-493.706622	1	1.078558603506	0.017962262126	75	38	
20895000	-514.785965	1	1.167573942880	0.026179915066	72	31	
20900000	-500.286421	1	1.106648320176	0.021420844503	75	36	
20905000	-493.215468	1	1.279240368806	0.019612520608	71	55	
20910000	-492.176683	1	0.803710491519	0.022987277924	64	44	
20915000	-483.988016	1	0.983819502756	0.020729350878	69	44	
20920000	-491.921122	1	1.505507758675	0.019775817027	60	49	
20925000	-479.965105	1	1.517719271064	0.020587684332	73	44	
20930000	-489.128721	1	0.814877676071	0.024056248582	67	41	
20935000	-477.397262	1	1.176962832640	0.022839909312	71	38	
20940000	-505.520992	1	0.516140555069	0.025340718052	83	41	
20945000	-489.813576	1	2.375325345065	0.026709663545	73	39	
20950000	-479.512648	1	1.669157754803	0.026164141118	81	42	
20955000	-473.637746	1	1.003960866176	0.025385907192	76	41	
20960000	-498.693032	1	1.688085276667	0.025048329547	78	35	
20965000	-495.297738	1	1.211333279278	0.023074664248	74	40	
20970000	-496.781274	1	1.246890833388	0.026354818888	67	40	
20975000	-505.755111	1	1.028592585171	0.025177483516	73	41	
20980000	-512.650939	1	1.545946196043	0.028776004896	72	37	
20985000	-504.498495	1	1.437109252882	0.026166539097	69	37	
20990000	-483.225743	1	1.814280836580	0.023988435697	71	40	
20995000	-490.333353	1	0.981706673750	0.024500164039	80	40	
21000000	-487.834560	1	1.181594970591	0.028159993231	79	37	
21005000	-490.817522	1	1.354568463802	0.029003637755	70	44	
21010000	-462.389159	1	1.164260002154	0.023802801645	67	48	
21015000	-500.836413	1	1.932925625960	0.026020434636	71	45	
21020000	-505.019593	1	1.052293923394	0.026874677417	78	50	
21025000	-491.215566	1	1.346492294444	0.025194759785	84	45	
21030000	-476.028816	1	0.833182359574	0.024529737975	81	46	
21035000	-486.493607	1	1.580412924855	0.027299845865	81	42	
21040000	-535.134683	1	1.802070494657	0.026953168646	75	44	
21045000	-519.277587	1	0.963542091623	0.027054746008	73	48	
21050000	-513.344237	1	0.886362174906	0.026304815040	71	41	
21055000	-510.788954	1	0.870319885678	0.033499303155	75	33	
21060000	-503.128626	1	1.417025334917	0.028965370987	76	40	
21065000	-504.316487	1	2.064544967258	0.026910427455	81	44	
21070000	-504.259018	1	1.028138398261	0.032148169828	71	33	
21075000	-488.466287	1	1.556504144420	0.025395012854	68	41	
21080000	-494.237252	1	1.832974115673	0.026903141328	72	40	
21085000	-512.977029	1	1.436265019688	0.027058731203	71	42	
21090000	-485.473192	1	0.584148368641	0.027866609294	74	37	
21095000	-492.207049	1	1.266411279889	0.029111544393	71	29	
